Benchmarks	sim_seconds	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
spec_results/Default/401bzip	0.083982	1.679650	0.014798	0.000077	0.282163
spec_results/1GHz/401bzip	0.161025	1.610247	0.014675	0.000077	0.282157
spec_results/3GHz/401bzip	0.058385	1.753291	0.014932	0.000077	0.282166
spec_results/Default/429mcf	0.064955	1.299095	0.002108	0.023612	0.055046
spec_results/1GHz/429mcf	0.127942	1.279422	0.002108	0.023627	0.055046
spec_results/3GHz/429mcf	0.043867	1.317329	0.002108	0.023609	0.055046
spec_results/Default/456hmmer	0.059396	1.187917	0.001637	0.000221	0.077760
spec_results/1GHz/456hmmer	0.118530	1.185304	0.001629	0.000221	0.077747
spec_results/3GHz/456hmmer	0.039646	1.190581	0.001637	0.000221	0.077761
spec_results/Default/458sjeng	0.513528	10.270554	0.121831	0.000020	0.999972
spec_results/1GHz/458sjeng	0.704056	7.040561	0.121831	0.000020	0.999972
spec_results/3GHz/458sjeng	0.449821	13.508136	0.121831	0.000020	0.999972
spec_results/Default/470lbm	0.174671	3.493415	0.060972	0.000094	0.999944
spec_results/1GHz/470lbm	0.262327	2.623265	0.060971	0.000094	0.999944
spec_results/3GHz/470lbm	0.146433	4.397377	0.060972	0.000094	0.999944
