Benchmarks	sim_seconds	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
spec_results/Default/401bzip	0.083982	1.679650	0.014798	0.000077	0.282163
spec_results/DDR3_2133/401bzip	0.083609	1.672175	0.014795	0.000077	0.282159
spec_results/Default/429mcf	0.064955	1.299095	0.002108	0.023612	0.055046
spec_results/DDR3_2133/429mcf	0.064892	1.297844	0.002108	0.023612	0.055046
spec_results/Default/456hmmer	0.059396	1.187917	0.001637	0.000221	0.077760
spec_results/DDR3_2133/456hmmer	0.059386	1.187722	0.001637	0.000221	0.077760
spec_results/Default/458sjeng	0.513528	10.270554	0.121831	0.000020	0.999972
spec_results/DDR3_2133/458sjeng	0.493128	9.862562	0.121831	0.000020	0.999972
spec_results/Default/470lbm	0.174671	3.493415	0.060972	0.000094	0.999944
spec_results/DDR3_2133/470lbm	0.171530	3.430593	0.060972	0.000094	0.999944
