Benchmarks	sim_seconds	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
spec_results/L1_dcache_size_32kB/401bzip	0.085315	1.706294	0.017943	0.000077	0.229498
spec_results/Default/401bzip	0.083982	1.679650	0.014798	0.000077	0.282163
spec_results/L1_dcache_size_128kB/401bzip	0.082521	1.650416	0.011747	0.000077	0.363137
spec_results/L1_dcache_size_32kB/429mcf	0.064989	1.299780	0.002493	0.023612	0.054349
spec_results/Default/429mcf	0.064955	1.299095	0.002108	0.023612	0.055046
spec_results/L1_dcache_size_128kB/429mcf	0.064926	1.298527	0.001932	0.023611	0.055391
spec_results/L1_dcache_size_32kB/456hmmer	0.059567	1.191346	0.002359	0.000221	0.054065
spec_results/Default/456hmmer	0.059396	1.187917	0.001637	0.000221	0.077760
spec_results/L1_dcache_size_128kB/456hmmer	0.059309	1.186170	0.000701	0.000212	0.179990
spec_results/L1_dcache_size_32kB/458sjeng	0.513526	10.270520	0.121833	0.000020	0.999948
spec_results/Default/458sjeng	0.513528	10.270554	0.121831	0.000020	0.999972
spec_results/L1_dcache_size_128kB/458sjeng	0.513526	10.270520	0.121831	0.000020	0.999976
spec_results/L1_dcache_size_32kB/470lbm	0.174691	3.493825	0.060972	0.000094	0.999942
spec_results/Default/470lbm	0.174671	3.493415	0.060972	0.000094	0.999944
spec_results/L1_dcache_size_128kB/470lbm	0.174671	3.493415	0.060972	0.000094	0.999944
