Benchmarks	sim_seconds	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
spec_results/L1_icache_size_16kB/401bzip	0.084007	1.680134	0.014799	0.000084	0.282187
spec_results/Default/401bzip	0.083982	1.679650	0.014798	0.000077	0.282163
spec_results/L1_icache_size_64kB/401bzip	0.083994	1.679876	0.014800	0.000072	0.282148
spec_results/L1_icache_size_16kB/429mcf	0.070116	1.402316	0.002108	0.042936	0.031607
spec_results/Default/429mcf	0.064955	1.299095	0.002108	0.023612	0.055046
spec_results/L1_icache_size_64kB/429mcf	0.057780	1.155606	0.002108	0.000018	0.711878
spec_results/L1_icache_size_16kB/456hmmer	0.059432	1.188644	0.001637	0.000578	0.071410
spec_results/Default/456hmmer	0.059396	1.187917	0.001637	0.000221	0.077760
spec_results/L1_icache_size_64kB/456hmmer	0.059386	1.187711	0.001638	0.000087	0.080477
spec_results/L1_icache_size_16kB/458sjeng	0.513545	10.270894	0.121831	0.000023	0.999959
spec_results/Default/458sjeng	0.513528	10.270554	0.121831	0.000020	0.999972
spec_results/L1_icache_size_64kB/458sjeng	0.513524	10.270481	0.121831	0.000019	0.999979
spec_results/L1_icache_size_16kB/470lbm	0.175191	3.503812	0.060972	0.000113	0.999866
spec_results/Default/470lbm	0.174671	3.493415	0.060972	0.000094	0.999944
spec_results/L1_icache_size_64kB/470lbm	0.174671	3.493415	0.060972	0.000088	0.999967
