Benchmarks	sim_seconds	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
spec_results/Default/401bzip	0.083982	1.679650	0.014798	0.000077	0.282163
spec_results/L2_cache_assoc_4/401bzip	0.083942	1.678833	0.014793	0.000077	0.282144
spec_results/L2_cache_assoc_2/401bzip	0.084406	1.688129	0.014791	0.000077	0.292739
spec_results/Default/429mcf	0.064955	1.299095	0.002108	0.023612	0.055046
spec_results/L2_cache_assoc_4/429mcf	0.064952	1.299037	0.002108	0.023612	0.055085
spec_results/L2_cache_assoc_2/429mcf	0.064960	1.299192	0.002108	0.023612	0.055223
spec_results/Default/456hmmer	0.059396	1.187917	0.001637	0.000221	0.077760
spec_results/L2_cache_assoc_4/456hmmer	0.059396	1.187917	0.001637	0.000221	0.077760
spec_results/L2_cache_assoc_2/456hmmer	0.059396	1.187917	0.001637	0.000221	0.077760
spec_results/Default/458sjeng	0.513528	10.270554	0.121831	0.000020	0.999972
spec_results/L2_cache_assoc_4/458sjeng	0.513526	10.270525	0.121831	0.000020	0.999972
spec_results/L2_cache_assoc_2/458sjeng	0.513507	10.270140	0.121831	0.000020	0.999972
spec_results/Default/470lbm	0.174671	3.493415	0.060972	0.000094	0.999944
spec_results/L2_cache_assoc_4/470lbm	0.174671	3.493415	0.060972	0.000094	0.999944
spec_results/L2_cache_assoc_2/470lbm	0.174671	3.493415	0.060972	0.000094	0.999944
