Benchmarks	sim_seconds	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
spec_results/L2_cache_size_1MB/401bzip	0.085526	1.710520	0.014796	0.000077	0.318634
spec_results/Default/401bzip	0.083982	1.679650	0.014798	0.000077	0.282163
spec_results/L2_cache_size_4MB/401bzip	0.082692	1.653848	0.014796	0.000077	0.251734
spec_results/L2_cache_size_1MB/429mcf	0.065187	1.303750	0.002108	0.023612	0.059346
spec_results/Default/429mcf	0.064955	1.299095	0.002108	0.023612	0.055046
spec_results/L2_cache_size_4MB/429mcf	0.064926	1.298512	0.002108	0.023612	0.054613
spec_results/L2_cache_size_1MB/456hmmer	0.059396	1.187917	0.001637	0.000221	0.077760
spec_results/Default/456hmmer	0.059396	1.187917	0.001637	0.000221	0.077760
spec_results/L2_cache_size_4MB/456hmmer	0.059396	1.187917	0.001637	0.000221	0.077760
spec_results/L2_cache_size_1MB/458sjeng	0.513664	10.273271	0.121831	0.000020	0.999972
spec_results/Default/458sjeng	0.513528	10.270554	0.121831	0.000020	0.999972
spec_results/L2_cache_size_4MB/458sjeng	0.513271	10.265417	0.121831	0.000020	0.999972
spec_results/L2_cache_size_1MB/470lbm	0.174772	3.495444	0.060972	0.000094	0.999944
spec_results/Default/470lbm	0.174671	3.493415	0.060972	0.000094	0.999944
spec_results/L2_cache_size_4MB/470lbm	0.174482	3.489639	0.060972	0.000094	0.999944
