Benchmarks	sim_seconds	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
spec_results/Default/401bzip	0.083982	1.679650	0.014798	0.000077	0.282163
spec_results/opt4/401bzip	0.056295	1.690542	0.009848	0.000052	0.260174
spec_results/Default/429mcf	0.064955	1.299095	0.002108	0.023612	0.055046
spec_results/opt4/429mcf	0.037825	1.135899	0.001120	0.000013	0.660831
spec_results/Default/456hmmer	0.059396	1.187917	0.001637	0.000221	0.077760
spec_results/opt4/456hmmer	0.039340	1.181370	0.000369	0.000056	0.201115
spec_results/Default/458sjeng	0.513528	10.270554	0.121831	0.000020	0.999972
spec_results/opt4/458sjeng	0.293460	8.812609	0.060918	0.000013	0.999978
spec_results/Default/470lbm	0.174671	3.493415	0.060972	0.000094	0.999944
spec_results/opt4/470lbm	0.101680	3.053441	0.030487	0.000084	0.999958
